#,"URL Rating (desc)","Domain Rating","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language
46,6,37,http://mademoisellelek.com/tag/tested/page/2/,"Tested Archives - Page 2 of 29 - Mademoiselle Le K Blog-Trotter",153,35,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-06-16 02:57:56","2017-08-10 15:58:59",,en
47,6,37,http://mademoisellelek.com/tag/alentejo/page/2/,"Alentejo Archives - Page 2 of 7 - Mademoiselle Le K Blog-Trotter",160,42,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-01-08 02:05:16","2017-09-22 02:49:23",,en
48,6,37,http://mademoisellelek.com/category/architecture-2/page/2/,"Architecture Archives - Page 2 of 8 - Mademoiselle Le K Blog-Trotter",176,49,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-09-19 18:31:47","2017-09-19 18:31:47",,fr
49,6,37,http://mademoisellelek.com/tag/breakfast/page/2/,"Breakfast Archives - Page 2 of 5 - Mademoiselle Le K Blog-Trotter",178,39,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-06-11 20:56:47","2017-09-09 16:32:27",,en
50,6,37,http://mademoisellelek.com/category/fooding-bars/page/3/,"Fooding & Bars Archives - Page 3 of 76 - Mademoiselle Le K Blog-Trotter",161,40,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-07-29 16:23:10","2017-08-22 15:22:24","2017-09-26 04:01:46",en
51,6,37,http://mademoisellelek.com/tag/portugal/page/5/,"Portugal Archives - Page 5 of 32 - Mademoiselle Le K Blog-Trotter",175,42,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-01-20 20:33:25","2017-08-27 14:03:40","2017-09-25 08:07:30",en
52,6,37,http://mademoisellelek.com/category/on-the-road-again/page/20/,"""On the road again"" Archives - Page 20 of 238 - Mademoiselle Le K Blog-Trotter",161,42,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-09-01 18:36:30","2017-09-01 18:36:30",,fr
53,6,37,http://mademoisellelek.com/blog/page/21/,"BLOG - Page 21 of 1069 - Mademoiselle Le K Blog-Trotter",158,50,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-09-02 15:01:06","2017-09-02 15:01:06",,en
54,6,37,http://mademoisellelek.com/category/fooding-bars/page/4/,"Fooding & Bars Archives - Page 4 of 77 - Mademoiselle Le K Blog-Trotter",148,36,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-09-17 20:10:40","2017-09-17 20:10:40",,fr
55,6,37,http://mademoisellelek.com/category/hotels/page/4/,"Hotels Archives - Page 4 of 80 - Mademoiselle Le K Blog-Trotter",175,43,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-08-14 17:31:06","2017-09-18 02:44:34",,fr
